"review_id","star_rating","helpful_votes","total_votes","vine","verified_purchase"
"R3FJ319XA6ZAUQ",2,21,25,"N","Y"
"R6HRF25HUMIIE",5,24,24,"N","Y"
"R2CTAK3APOFKZU",5,37,38,"N","N"
"R1WQZB0CAEPQBU",2,85,128,"N","N"
"RHZDSA48HVRVK",5,49,86,"N","N"
"R190J2PDOZ5GVK",3,36,51,"N","Y"
"R1WZSWWOTN58OP",5,73,77,"N","Y"
"R29THVJFO35FZA",5,48,50,"N","Y"
"R3V8FKXIHBLWEL",5,91,108,"N","Y"
"R3JIIPQ8F0P7QS",4,22,23,"N","Y"
"R3T9SAE2GZ2CN8",5,24,28,"N","Y"
"R2O9VZEU64LFXH",4,115,136,"N","Y"
"R3NET50AD1HMUD",3,27,32,"N","Y"
"R79ZW8DU56QV6",1,43,47,"N","N"
"RQN1N103PBM22",1,61,69,"N","Y"
"R28VHGS18B0YXC",5,35,42,"N","N"
"R3BWM499VCMGS7",5,48,52,"N","Y"
"R36SDHRTJ9VEM8",5,32,34,"N","N"
"R2ILOJ2MACX1GM",5,37,63,"N","N"
"R2C9SAXAPMNSAI",5,44,47,"N","N"
"RU46FWXEICMWI",1,19,23,"N","Y"
"RQH8VUT3L46VS",5,29,33,"N","Y"
"R2FDEPNQCD8OZI",5,109,125,"N","Y"
"R2WEFZNX9XGHDX",5,24,27,"N","N"
"R1AK411TUN72F6",5,23,23,"N","N"
"R1I4S38HQGISB6",5,31,33,"N","Y"
"R2IP1IS4HLRSB2",4,83,87,"N","Y"
"RSQQNVVPCHUUV",4,34,40,"N","Y"
"R3IU7BKYLQ3S1F",5,22,22,"N","Y"
"R3O1UL27MCXO23",3,108,116,"N","Y"
"R1966830MKMBD7",4,629,668,"N","Y"
"R2KL2MSLWU5UT4",2,22,22,"N","Y"
"R3HG21YGM9D8A9",4,249,298,"N","N"
"R36Z7OKUFGBRD5",4,50,51,"N","Y"
"RM18IGVTSO06I",5,24,24,"N","Y"
"R21FGXTFEDD6PQ",2,53,59,"N","Y"
"RHFAS54UGXTNN",1,51,77,"N","Y"
"R37L6YZDX0P3J9",1,28,35,"Y","N"
"R2UN19K6VC2I7B",1,36,48,"N","Y"
"R1C8Z4ZJAMH1T0",1,26,26,"N","Y"
"R1NJ2KOA7WAMVP",4,25,30,"N","Y"
"R1WYS5E8B26AB8",5,32,38,"N","Y"
"R2N0GH4ZS8JTJX",4,26,26,"N","Y"
"R1HUTUMMQJM1NT",1,20,24,"N","N"
"R1YJ8RSMA9BAX5",1,19,24,"N","Y"
"R27FZ1M1T0XETA",5,37,39,"N","Y"
"R21002SKER81K8",1,22,38,"N","N"
"R385O0M5GB1MM7",1,24,29,"N","N"
"R2JT4XRQO2KASL",5,38,41,"Y","N"
"R1U3L1G9LDF1IV",2,18,21,"N","Y"
"R3ENS831IOYE86",5,34,36,"N","Y"
"R26BNK4M5HWH4V",5,24,26,"N","Y"
"R2GITKHO6HCJG6",5,25,27,"N","N"
"RD6R4PWCY8INU",5,53,59,"N","Y"
"R2JSY7FS439FXP",5,22,22,"N","N"
"R3KGVQ2CB85AW8",5,27,28,"N","Y"
"R22CB12L2XOS1C",5,142,151,"N","Y"
"RJ2J7RN4CMN5E",1,34,38,"N","Y"
"R1KQ5ZFGGGTETH",5,36,41,"N","Y"
"R3JKZCWA6W0JFU",5,184,216,"N","N"
"R1SEYUP57XQDJQ",1,20,21,"N","Y"
"R8LY800DKM1YQ",5,27,27,"N","Y"
"RE0Q4VGD8W5TA",5,21,21,"N","Y"
"R2OEJIXT6A5VPY",5,26,27,"N","Y"
"RBRC50JMYO031",5,27,27,"N","N"
"R1BC4YAOQFPRLV",1,26,33,"N","Y"
"R1Z7HCIFOQXJII",5,188,199,"N","Y"
"R3BMK29H898IEW",5,32,34,"N","Y"
